Index	Label
731	8
732	0
733	2
734	5
735	3
736	6
737	5
738	5
739	1
740	7
741	3
742	8
743	2
744	5
745	8
746	4
747	2
748	4
749	2
750	5
751	2
752	1
753	6
754	5
755	6
756	9
757	1
758	3
759	7
760	1
761	2
762	5
763	8
764	0
765	5
766	8
767	6
768	0
769	6
770	0
771	8
772	5
773	6
774	8
775	0
776	2
777	4
778	7
779	5
780	3
781	4
782	1
783	5
784	3
785	9
786	6
787	8
788	7
789	5
790	5
791	2
792	6
793	8
794	5
795	0
796	7
797	2
798	7
799	4
800	5
801	9
802	3
803	2
804	8
805	5
806	9
807	6
808	7
809	2
810	1
811	3
812	0
813	9
814	1
815	6
816	3
817	4
818	1
819	2
820	7
821	0
822	2
823	1
824	7
825	9
826	1
827	1
828	0
829	6
830	4
831	6
832	1
833	3
834	7
835	4
836	6
837	9
838	7
839	7
840	1
841	9
842	2
843	1
844	9
845	1
846	7
847	2
848	2
849	9
850	5
851	3
852	9
853	3
854	6
855	9
856	2
857	1
858	5
859	2
860	0
861	3
862	4
863	3
864	8
865	1
866	6
867	4
868	0
869	7
870	1
871	5
872	0
873	7
874	8
875	9
876	4
877	0
878	4
879	9
880	2
881	2
882	5
883	3
884	6
885	9
886	5
887	6
888	7
889	7
890	2
891	1
892	6
893	8
894	2
895	9
896	7
897	1
898	6
899	6
900	7
901	5
902	1
903	4
904	5
905	6
906	4
907	5
908	2
909	8
910	1
911	7
912	4
913	9
914	1
915	7
916	3
917	1
918	8
919	2
920	9
921	5
922	9
923	1
924	9
925	9
926	5
927	5
928	2
929	6
930	4
931	2
932	9
933	6
934	5
935	6
936	5
937	4
938	3
939	4
940	2
941	7
942	6
943	7
944	5
945	5
946	8
947	7
948	7
949	1
950	2
951	9
952	4
953	6
954	2
955	6
956	8
957	2
958	2
959	5
960	0
961	3
962	0
963	7
964	3
965	7
966	2
967	6
968	6
969	9
970	9
971	4
972	9
973	7
974	9
975	7
976	0
977	1
978	7
979	2
980	5
981	5
982	6
983	0
984	8
985	8
986	8
987	6
988	2
989	8
990	3
991	9
992	5
993	3
994	6
995	7
996	5
997	1
998	3
999	3
1000	8
1001	3
1002	1
1003	4
1004	1
1005	9
1006	1
1007	2
1008	8
1009	4
1010	5
1011	9
1012	3
1013	2
1014	3
1015	4
1016	2
1017	9
1018	5
1019	4
1020	5
1021	7
1022	2
1023	3
1024	4
1025	2
1026	3
1027	8
1028	3
1029	2
1030	8
1031	8
1032	0
1033	1
1034	1
1035	8
1036	9
1037	6
1038	9
1039	2
1040	1
1041	5
1042	4
1043	2
1044	1
1045	3
1046	8
1047	5
1048	8
1049	8
1050	3
1051	0
1052	7
1053	9
1054	0
1055	1
1056	6
1057	0
1058	7
1059	9
1060	6
1061	7
1062	2
1063	3
1064	0
1065	9
1066	5
1067	8
1068	7
1069	0
1070	9
1071	2
1072	9
1073	7
1074	8
1075	0
1076	9
1077	3
1078	2
1079	0
1080	2
1081	1
1082	9
1083	2
1084	8
1085	1
1086	2
1087	0
1088	6
1089	0
1090	8
1091	2
1092	6
1093	9
1094	9
1095	3
1096	3
1097	3
1098	3
1099	4
1100	1
1101	4
1102	0
1103	9
1104	2
1105	7
1106	7
1107	1
1108	4
1109	1
1110	0
1111	7
1112	7
1113	9
1114	7
1115	6
1116	5
1117	4
1118	6
1119	1
1120	9
1121	3
1122	9
1123	2
1124	2
1125	8
1126	1
1127	3
1128	3
1129	5
1130	0
1131	1
1132	2
1133	8
1134	5
1135	9
1136	3
1137	4
1138	5
1139	8
1140	9
1141	9
1142	4
1143	3
1144	3
1145	4
1146	9
1147	8
1148	6
1149	9
1150	0
1151	0
1152	4
1153	7
1154	5
1155	7
1156	9
1157	9
1158	6
1159	5
1160	5
1161	7
1162	0
1163	1
1164	5
1165	7
1166	8
1167	8
1168	8
1169	4
1170	3
1171	5
1172	6
1173	1
1174	0
1175	6
1176	2
1177	9
1178	0
1179	9
1180	8
1181	7
1182	4
1183	5
1184	7
1185	4
1186	0
1187	6
1188	5
1189	7
1190	0
1191	1
1192	5
1193	4
1194	3
1195	0
1196	2
1197	0
1198	1
1199	9
1200	7
1201	1
1202	4
1203	5
1204	1
1205	9
1206	9
1207	9
1208	9
1209	8
1210	2
1211	2
1212	4
1213	5
1214	9
1215	1
1216	8
1217	6
1218	9
1219	2
1220	6
1221	9
1222	8
1223	9
1224	2
1225	9
1226	2
1227	5
1228	3
1229	5
1230	8
1231	5
1232	9
1233	8
1234	1
1235	0
1236	8
1237	3
1238	5
1239	8
1240	2
1241	2
1242	8
1243	5
1244	0
1245	3
1246	5
1247	3
1248	0
1249	3
1250	2
1251	2
1252	2
1253	7
1254	9
1255	5
1256	6
1257	8
1258	5
1259	5
1260	9
1261	5
1262	3
1263	7
1264	2
1265	9
1266	2
1267	6
1268	2
1269	8
1270	0
1271	5
1272	0
1273	9
1274	8
1275	4
1276	0
1277	8
1278	6
1279	7
1280	2
1281	7
1282	0
1283	7
1284	7
1285	2
1286	9
1287	5
1288	8
1289	1
1290	2
1291	2
1292	1
1293	6
1294	9
1295	3
1296	7
1297	4
1298	8
1299	4
1300	1
1301	6
1302	4
1303	2
1304	4
1305	3
1306	4
1307	8
1308	8
1309	7
1310	0
1311	5
1312	5
1313	9
1314	7
1315	9
1316	3
1317	0
1318	7
1319	8
1320	7
1321	7
1322	0
1323	2
1324	7
1325	7
1326	3
1327	7
1328	3
1329	5
1330	9
1331	6
1332	1
1333	3
1334	6
1335	4
1336	3
1337	2
1338	3
1339	9
1340	5
1341	5
1342	8
1343	4
1344	9
1345	3
1346	2
1347	5
1348	6
1349	8
1350	8
1351	9
1352	2
1353	8
1354	3
1355	4
1356	3
1357	6
1358	0
1359	8
1360	7
1361	5
1362	5
1363	6
1364	2
1365	6
1366	2
1367	7
1368	2
1369	7
1370	7
1371	2
1372	5
1373	3
1374	6
1375	5
1376	4
1377	7
1378	5
1379	3
1380	3
1381	5
1382	9
1383	5
1384	9
1385	5
1386	7
1387	8
1388	9
1389	6
1390	1
1391	2
1392	1
1393	9
1394	3
1395	7
1396	7
1397	3
1398	1
1399	6
1400	7
1401	6
1402	8
1403	2
1404	1
1405	2
1406	2
1407	0
1408	0
1409	4
1410	0
1411	4
1412	6
1413	1
1414	1
1415	2
1416	3
1417	6
1418	2
1419	2
1420	9
1421	1
1422	9
1423	2
1424	1
1425	7
1426	8
1427	4
1428	8
1429	0
1430	7
1431	7
1432	5
1433	0
1434	8
1435	6
1436	4
1437	5
1438	6
1439	3
1440	1
1441	5
1442	3
1443	2
1444	4
1445	5
1446	6
1447	2
1448	0
1449	3
1450	9
1451	6
1452	5
1453	6
1454	6
1455	8
1456	6
1457	4
1458	4
1459	5
1460	6
1461	5
1462	8
1463	6
1464	3
1465	3
1466	9
1467	2
1468	1
1469	3
1470	5
1471	3
1472	0
1473	8
1474	7
1475	7
1476	6
1477	3
1478	3
1479	9
1480	0
1481	2
1482	3
1483	1
1484	6
1485	5
1486	4
1487	4
1488	8
1489	7
1490	1
1491	8
1492	5
1493	0
1494	2
1495	2
1496	1
1497	6
1498	0
1499	9
1500	9
1501	8
1502	2
1503	0
1504	2
1505	4
1506	1
1507	1
1508	3
1509	1
1510	7
1511	8
1512	9
1513	5
1514	9
1515	6
1516	7
1517	4
1518	7
1519	4
1520	7
1521	9
1522	7
1523	8
1524	9
1525	2
1526	3
1527	7
1528	5
1529	7
1530	8
1531	7
1532	5
1533	1
1534	0
1535	7
1536	8
1537	6
1538	9
1539	5
1540	4
1541	6
1542	7
1543	0
1544	9
1545	9
1546	5
1547	2
1548	9
1549	7
1550	8
1551	2
1552	2
1553	4
1554	2
1555	9
1556	0
1557	8
1558	5
1559	6
1560	4
1561	2
1562	5
1563	3
1564	7
1565	4
1566	8
1567	1
1568	5
1569	8
1570	2
1571	8
1572	6
1573	6
1574	4
1575	5
1576	7
1577	2
1578	5
1579	5
1580	6
1581	1
1582	7
1583	6
1584	2
1585	4
1586	8
1587	9
1588	9
1589	1
1590	3
1591	8
1592	8
1593	9
1594	6
1595	5
1596	0
1597	5
1598	3
1599	0
