Index	Label
533	7
534	5
535	8
536	1
537	4
538	8
539	5
540	0
541	4
542	8
543	3
544	9
545	9
546	6
547	8
548	6
549	5
550	8
551	0
552	7
553	7
554	9
555	9
556	9
557	2
558	0
559	8
560	3
561	1
562	8
563	5
564	0
565	3
566	0
567	0
568	1
569	6
570	6
571	0
572	1
573	4
574	3
575	7
576	4
577	2
578	1
579	5
580	6
581	8
582	7
583	8
584	6
585	9
586	9
587	8
588	5
589	3
590	5
591	2
592	9
593	4
594	3
595	7
596	2
597	0
598	9
599	9
600	8
601	8
602	9
603	3
604	4
605	3
606	9
607	4
608	5
609	0
610	8
611	6
612	8
613	4
614	2
615	8
616	0
617	1
618	2
619	1
620	7
621	1
622	2
623	6
624	4
625	1
626	8
627	0
628	4
629	7
630	1
631	2
632	3
633	7
634	5
635	7
636	9
637	9
638	7
639	3
640	4
641	2
642	2
643	4
644	7
645	0
646	3
647	1
648	8
649	5
650	6
651	2
652	2
653	6
654	9
655	8
656	4
657	7
658	4
659	7
660	3
661	9
662	9
663	8
664	3
665	2
666	7
667	9
668	5
669	8
670	9
671	8
672	8
673	1
674	6
675	8
676	4
677	3
678	8
679	7
680	2
681	2
682	4
683	0
684	5
685	9
686	3
687	1
688	3
689	4
690	1
691	4
692	4
693	4
694	2
695	9
696	2
697	8
698	5
699	9
700	0
701	2
702	9
703	4
704	3
705	7
706	2
707	3
708	6
709	7
710	8
711	6
712	8
713	4
714	0
715	6
716	0
717	4
718	0
719	4
720	2
721	6
722	0
723	3
724	5
725	2
726	2
727	2
728	3
729	1
730	3
731	8
732	4
733	4
734	0
735	8
736	6
737	6
738	2
739	2
740	5
741	2
742	4
743	2
744	4
745	7
746	5
747	5
748	0
749	3
750	8
751	1
752	8
753	8
754	0
755	9
756	3
757	5
758	1
759	9
760	6
761	6
762	9
763	7
764	8
765	0
766	0
767	3
768	2
769	7
770	1
771	8
772	8
773	3
774	1
775	3
776	8
777	3
778	0
779	3
780	2
781	7
782	6
783	8
784	1
785	7
786	3
787	2
788	6
789	4
790	6
791	5
792	7
793	4
794	6
795	1
796	1
797	9
798	3
799	4
800	0
801	7
802	1
803	2
804	0
805	7
806	2
807	0
808	9
809	7
810	7
811	9
812	7
813	3
814	7
815	9
816	9
817	8
818	1
819	9
820	0
821	6
822	3
823	0
824	5
825	3
826	4
827	2
828	7
829	7
830	7
831	4
832	7
833	5
834	9
835	0
836	1
837	7
838	0
839	5
840	7
841	2
842	2
843	9
844	2
845	1
846	9
847	5
848	6
849	5
850	2
851	5
852	8
853	3
854	3
855	3
856	9
857	0
858	5
859	5
860	1
861	2
862	3
863	0
864	2
865	4
866	1
867	5
868	4
869	7
870	4
871	8
872	9
873	9
874	9
875	8
876	1
877	1
878	6
879	8
880	5
881	3
882	1
883	6
884	1
885	8
886	6
887	6
888	3
889	5
890	4
891	2
892	5
893	1
894	0
895	2
896	2
897	0
898	1
899	4
900	3
901	1
902	5
903	0
904	4
905	0
906	3
907	4
908	6
909	5
910	4
911	8
912	4
913	5
914	3
915	6
916	7
917	9
918	8
919	2
920	2
921	3
922	6
923	0
924	1
925	4
926	8
927	6
928	6
929	2
930	5
931	5
932	0
933	3
934	6
935	9
936	4
937	9
938	9
939	4
940	0
941	6
942	4
943	3
944	7
945	3
946	7
947	2
948	9
949	9
950	9
951	2
952	5
953	2
954	3
955	0
956	6
957	8
958	8
959	7
960	4
961	0
962	6
963	0
964	8
965	3
966	9
967	2
968	6
969	1
970	1
971	3
972	9
973	8
974	4
975	1
976	0
977	4
978	1
979	5
980	9
981	4
982	3
983	1
984	4
985	1
986	5
987	2
988	3
989	2
990	9
991	6
992	7
993	3
994	3
995	7
996	1
997	5
998	8
999	3
1000	2
1001	3
1002	3
1003	8
1004	6
1005	8
1006	7
1007	7
1008	8
1009	5
1010	7
1011	7
1012	2
1013	8
1014	4
1015	1
1016	0
1017	5
1018	1
1019	7
1020	7
1021	6
1022	8
1023	9
1024	1
1025	8
1026	2
1027	1
1028	2
1029	7
1030	1
1031	5
1032	9
1033	6
1034	8
1035	8
1036	2
1037	9
1038	2
1039	5
1040	6
1041	1
1042	3
1043	2
1044	2
1045	6
1046	1
1047	3
1048	4
1049	9
1050	7
1051	8
1052	7
1053	3
1054	6
1055	8
1056	7
1057	6
1058	6
1059	0
1060	7
1061	6
1062	5
1063	6
1064	8
1065	2
1066	2
1067	3
1068	9
1069	6
1070	4
1071	4
1072	4
1073	8
1074	3
1075	1
1076	3
1077	8
1078	4
1079	5
1080	9
1081	1
1082	8
1083	9
1084	0
1085	5
1086	0
1087	4
1088	7
1089	0
1090	2
1091	1
1092	0
1093	4
1094	0
1095	2
1096	8
1097	1
1098	0
1099	0
1100	5
1101	2
1102	9
1103	8
1104	0
1105	7
1106	0
1107	4
1108	1
1109	6
1110	3
1111	1
1112	7
1113	5
1114	7
1115	3
1116	1
1117	4
1118	0
1119	7
1120	9
1121	0
1122	4
1123	9
1124	9
1125	8
1126	9
1127	7
1128	2
1129	0
1130	3
1131	1
1132	6
1133	0
1134	0
1135	9
1136	7
1137	4
1138	2
1139	6
1140	3
1141	1
1142	3
1143	8
1144	8
1145	6
1146	0
1147	4
1148	7
1149	4
1150	6
1151	2
1152	0
1153	3
1154	5
1155	9
1156	4
1157	0
1158	8
1159	2
1160	7
1161	1
1162	8
1163	0
1164	1
1165	2
1166	6
1167	4
1168	5
1169	0
1170	3
1171	0
1172	0
1173	3
1174	6
1175	4
1176	0
1177	5
1178	7
1179	3
1180	6
1181	0
1182	2
1183	5
1184	9
1185	0
1186	9
1187	5
1188	7
1189	9
1190	5
1191	0
1192	8
1193	2
1194	8
1195	3
1196	9
1197	2
1198	6
1199	5
1200	9
1201	7
1202	3
1203	4
1204	3
1205	2
1206	8
1207	3
1208	7
1209	7
1210	8
1211	4
1212	9
1213	3
1214	7
1215	1
1216	0
1217	4
1218	4
1219	7
1220	1
1221	6
1222	6
1223	6
1224	7
1225	4
1226	5
1227	6
1228	9
1229	0
1230	0
1231	8
1232	8
1233	8
1234	6
1235	1
1236	0
1237	9
1238	9
1239	6
1240	1
1241	7
1242	5
1243	4
1244	9
1245	3
1246	1
1247	9
1248	7
1249	5
1250	2
1251	3
1252	4
1253	4
1254	1
1255	5
1256	2
1257	6
1258	0
1259	0
1260	6
1261	7
1262	3
1263	3
1264	0
1265	6
1266	8
1267	1
1268	7
1269	3
1270	6
1271	1
1272	7
1273	5
1274	2
1275	9
1276	0
1277	0
1278	7
1279	5
1280	3
1281	4
1282	1
1283	3
1284	0
1285	1
1286	3
1287	0
1288	2
1289	4
1290	7
1291	1
1292	3
1293	4
1294	9
1295	6
1296	0
1297	1
1298	6
1299	1
1300	2
1301	0
1302	8
1303	1
1304	3
1305	1
1306	0
1307	1
1308	1
1309	0
1310	0
1311	6
1312	0
1313	3
1314	6
1315	9
1316	8
1317	0
1318	7
1319	1
1320	7
1321	6
1322	3
1323	3
1324	4
1325	4
1326	6
1327	9
1328	9
1329	2
1330	9
1331	3
1332	5
1333	0
1334	4
1335	9
1336	3
1337	4
1338	9
1339	0
1340	0
1341	2
1342	4
1343	1
1344	3
1345	1
1346	8
1347	5
1348	2
1349	7
1350	4
1351	3
1352	1
1353	0
1354	0
1355	6
1356	6
1357	8
1358	4
1359	2
1360	7
1361	1
1362	5
1363	1
1364	2
1365	2
1366	6
1367	7
1368	6
1369	5
1370	1
1371	1
1372	0
1373	9
1374	1
1375	7
1376	0
1377	8
1378	4
1379	2
1380	9
1381	2
1382	0
1383	2
1384	5
1385	9
1386	7
1387	8
1388	3
1389	1
1390	0
1391	0
1392	2
1393	1
1394	9
1395	9
1396	2
1397	0
1398	3
1399	8
1400	9
1401	6
1402	8
1403	9
1404	9
1405	1
1406	5
1407	4
1408	6
1409	7
1410	7
1411	2
1412	3
1413	9
1414	3
1415	6
1416	6
1417	1
1418	0
1419	1
1420	1
1421	6
1422	4
1423	5
1424	0
1425	6
1426	8
1427	7
1428	7
1429	5
1430	0
1431	6
1432	0
1433	3
1434	4
1435	9
1436	3
1437	6
1438	8
1439	5
1440	9
1441	7
1442	9
1443	7
1444	6
1445	2
1446	1
1447	2
1448	3
1449	8
1450	6
1451	0
1452	9
1453	3
1454	6
1455	0
1456	6
1457	8
1458	1
1459	4
1460	2
1461	9
1462	2
1463	3
1464	2
1465	8
1466	5
1467	0
1468	7
1469	4
1470	1
1471	2
1472	1
1473	5
1474	0
1475	1
1476	6
1477	2
1478	2
1479	1
1480	8
1481	4
1482	8
1483	1
1484	6
1485	7
1486	4
1487	2
1488	3
1489	7
1490	6
1491	8
1492	7
1493	9
1494	3
1495	0
1496	7
1497	4
1498	9
1499	3
1500	7
1501	3
1502	8
1503	3
1504	2
1505	0
1506	0
1507	1
1508	2
1509	1
1510	2
1511	3
1512	2
1513	5
1514	8
1515	6
1516	8
1517	3
1518	6
1519	9
1520	3
1521	2
1522	8
1523	2
1524	3
1525	2
1526	7
1527	2
1528	8
1529	0
1530	2
1531	5
1532	6
1533	2
1534	1
1535	8
1536	8
1537	8
1538	2
1539	7
1540	7
1541	9
1542	8
1543	8
1544	3
1545	4
1546	5
1547	1
1548	0
1549	5
1550	4
1551	4
1552	2
1553	4
1554	5
1555	4
1556	0
1557	6
1558	9
1559	2
1560	9
1561	4
1562	5
1563	3
1564	6
1565	1
1566	4
1567	0
1568	5
1569	7
1570	8
1571	3
1572	9
1573	4
1574	1
1575	8
1576	2
1577	1
1578	8
1579	6
1580	7
1581	2
1582	3
1583	5
1584	3
1585	1
1586	3
1587	5
1588	6
1589	3
1590	1
1591	7
1592	7
1593	5
1594	9
1595	9
1596	7
1597	8
1598	3
1599	5
